Repository,Category,Total Files,Total LOC,Avg Unique Authors,Total Churn,Lines Added,Lines Deleted,Single Dev Files,Avg Dominant Share,Repo Commits (12m),Repo Authors (12m)
RxJava,STAGNANT,1235,188868,0.03,183,94,89,11,0.01,93,4
checkstyle,STAGNANT,2638,312118,1.13,75178,45269,29909,1226,0.68,1399,123
commons-lang,STAGNANT,304,44381,1.41,11221,6944,4277,182,0.91,805,33
dropwizard,STAGNANT,447,53453,0.43,1253,618,635,165,0.39,372,14
flask,ACTIVE,38,7035,0.45,397,199,198,13,0.38,88,14
guava,ACTIVE,2145,316042,1.03,32520,17767,14753,1729,0.89,431,25
java-design-patterns,STAGNANT,975,82767,1.06,27345,15758,11587,856,0.95,192,30
junit5,STAGNANT,982,122629,2.17,44940,31043,13897,254,0.83,1530,33
mybatis-3,STAGNANT,746,77347,0.69,8524,5294,3230,353,0.54,531,18
spring-petclinic,ACTIVE,31,3215,2.48,664,443,221,7,0.66,53,15
subpar,STAGNANT,13,1929,0.0,0,0,0,0,0.0,0,0
